"Trigger","Wireless Protocol","Role","TTL","HSS","Top-Hotshoe","AF Assist","Channels","Groups","ID","Firmware Upgrade","Power","Status"
"FT-16/FT-16S","433MHz","TX","No","No","No","Yes","16","16","No","No","2x AA","EOL"
"FTR-16","433MHz","RX","No","No","No","No","16","16","No","No","From Flash","EOL"
"FTR-16S","433MHz","RX","No","No","No","No","16","16","No","No","From Flash","EOL"
"CellsII","433MHz","TX/RX","No","Yes","Yes","No","16","No","No","No","2x AA","EOL"
"FC-16","Proprietary 2.4GHz","TX/RX","No","No","Yes","No","16","No","No","No","2x AAA",""
"CT-16","Proprietary 433MHz","TX","No","No","No","No","16","No","No","No","1x 23A 12V",""
"CTR-16","Proprietary 433MHz","RX","No","No","Yes","No","16","No","No","No","2x AAA",""
"RT-01","Proprietary 433MHz","TX","No","No","No","No","1","No","No","No","1x 23A 12V","EOL"
"RT-02","Proprietary 433MHz","TX","No","No","No","No","2","No","No","No","1x 23A 12V","EOL"
"RT-04","Proprietary 433MHz","TX","No","No","No","No","4","No","No","No","1x 23A 12V","EOL"
"RT-16","Proprietary 433MHz","TX","No","No","No","No","16","No","No","No","1x 23A 12V","EOL"
"RTR-04","Proprietary 433MHz","RX","No","No","No","No","4","No","No","No","2x AAA","EOL"
"RTR-16","Proprietary 433MHz","RX","No","No","No","No","16","No","No","No","2x AAA","EOL"
"AT-16","Proprietary 433MHz","TX","No","No","No","No","16","No","No","No","1x 23A 12V","EOL"
"ATR-16","Proprietary 433MHz","RX","No","No","No","No","16","No","No","No","AC100-240V 50/60Hz","EOL"
"DM-16","Proprietary 433MHz","TX","No","No","No","No","16","No","No","No","1x 23A 12V","EOL"
"DMR-16","Proprietary 433MHz","RX","No","No","No","No","16","No","No","No","AC100-240V 50/60Hz","EOL"
"DM-04","Proprietary 433MHz","TX","No","No","No","No","4","No","No","No","1x 23A 12V","EOL"
"DMR-04","Proprietary 433MHz","RX","No","No","No","No","4","No","No","No","AC100-240V 50/60Hz","EOL"
"REEMiX","Proprietary 433MHz","TX","No","No","No","No","16","No","No","No","1x 23A 12V","EOL"
"REEMiX","Proprietary 433MHz","RX","No","No","Yes","No","16","No","No","No","2x AAA","EOL"
