Flashes,Pwr (Ws),WL XCS,Battery,TTL,HSS,Modelling Lamp (mW),Modelling Lamp Type,Min Pwr (1/n),Max Recycle Time (ms),Min Recycle Time (ms),CHs,Grps,ID,FW Up,Status
Lux Master,Unknown,"Yes, Built-In",Built-in Li-ion,Yes,Yes,0,No,256,1800,<1800,32,5,Yes,Yes,
AD100Pro,100,"Yes, Built-In",1x WB100(A/B)/VB30/VB26(A/B),Yes,Yes,1800,LED,256,1500,10,32,5,Yes,Yes,
AD200,200,"Yes, Built-In",1x WB29(A/B)/WB300P,Yes,Yes,Head Dependent,LED,128,2100,10,32,5,Yes,Yes,EOL
AD200Pro,200,"Yes, Built-In",1x WB29(A/B)/WB300P,Yes,Yes,Head Dependent,LED,256,1800,10,32,5,Yes,Yes,Discontinued
AD200Pro II,200,"Yes, Built-In",1x WB29(A/B)/WB300P,Yes,Yes,Head Dependent,LED,512,1800,10,32,16,Yes,Yes,
AD300Pro,300,"Yes, Built-In",1x WB300P/WB29(A/B),Yes,Yes,12000,LED COB,256,1500,10,32,5,Yes,Yes,
AR400,400,"Yes, Using XTR16",1x AR-B4500,Yes,Yes,Unknown,LED COB,128,2800,50,16,16,No,No,
ES400P,400,"Yes, Using XTR16",1x LiFePO4 Battery Pack,Yes,Yes,20000,Tungsten Bulb,32,1800,<1800,16,16,No,No,EOL
RS400P,400,"Yes, Using XTR16",1x LiFePO4 Battery Pack,Yes,Yes,12000,LED COB,32,1800,<1800,16,16,No,No,EOL
AD400Pro,400,"Yes, Built-In",1x WB400P,Yes,Yes,30000,LED COB,256,1000,10,32,5,Yes,Yes,
ES600P,600,"Yes, Using XTR16",1x LiFePO4 Battery Pack,Yes,Yes,20000,Tungsten Bulb,32,2500,<2500,16,16,No,No,EOL
RS600P,600,"Yes, Using XTR16",1x LiFePO4 Battery Pack,Yes,Yes,12000,LED COB,32,2500,<2500,16,16,No,No,EOL
AD600/AD600B,600,"Yes, Built-In",1x WB87(B),Yes,Yes,10000,LED COB,256,2500,10,32,5,Yes,Yes,Discontinued
AD600M/AD600BM,600,"Yes, Built-In",1x WB87(B),No,Yes,10000,LED COB,256,2500,10,32,5,Yes,Yes,Discontinued
AD600BM II,600,"Yes, Built-In",1x WB87(B),No,Yes,40000,LED COB,512,1900,10,32,16,Yes,Yes,
AD600Pro,600,"Yes, Built-In",1x WB26,Yes,Yes,38000,LED COB,256,900,10,32,5,Yes,Yes,
AD600Pro II,600,"Yes, Built-In",1x WB26,Yes,Yes,40000,LED COB,512,900,10,32,16,Yes,Yes,
XPLOR 600 SE,600,"Yes, Built-In",1x WB87(B),Yes,Yes,40000,LED COB,256,1900,10,32,16,Yes,Yes,
AD1200Pro,1200,"Yes, Built-In",1x WB1200H,Yes,Yes,40000,LED COB,256,2000,10,32,5,Yes,Yes,
