"Triggers","2.4GHz Odin Z OS","Role","TTL","HSS","Channel","Group","Digital ID","Status"
"Odin II Transmitter","Yes","TX","TTL","Yes","32","5","Yes",""
"Odin II Receiver","Yes","RX","TTL","Yes","32","5","Yes",""
"Odin Lite","Yes","TX","Manual","No","32","4","Yes",""
"Ares II Transmitter","Yes","TX","Manual","No","16","4","Yes",""
"Ares II Receiver","Yes","RX","Manual","No","16","4","Yes",""
"Strato II Transmitter","Yes","TX","Manual","No","4","4","No","Discontinued"
"Strato II Receiver","Yes","RX","Manual","No","4","4","No","Discontinued"
"Odin Transmitter","Yes","TX","TTL","Yes","4","3","No","EOL"
"Odin Receiver","Yes","RX","TTL","Yes","4","3","No","EOL"
"Strato Transmitter","Yes","TX","Manual","No","4","4","No","EOL"
"Strato Receiver","Yes","RX","Manual","No","4","4","No","EOL"
"Atlas II","Yes, Only as RX","TX/RX","Manual","No","4","0","No","EOL"
"Ares Transmitter","No, 2.4GHz","TX","Manual","No","8","0","No","EOL"
"Ares Receiver","No, 2.4GHz","RX","Manual","No","8","0","No","EOL"
"Atlas","No, 433MHz","TX/RX","Manual","No","4","0","No","EOL"
