"Flash","GN","TTL Shoe","HSS","Battery","Ext Pwr","FW Up","RX Prot","TX Prot","Optical Slave","Optical Master","Slave TTL"
"YN-200","60","No","No","1x YN-B2900","No","Yes","603","No","S1/S2/Sc/Sn","No","Yes"

"YN-460","33","Manual","No","4x AA","No","No","No","No","S1/S2","No","No"
"YN-460 II","38","Manual","No","4x AA","No","No","No","No","S1/S2","No","No"
"YN-465","33","C/N","No","4x AA","No","No","No","No","No","No","No"
"YN-467","33","C/N","No","4x AA","No","No","No","No","S1/S2","No","No"
"YN-467 II","33","C/N","No","4x AA","No","No","No","No","S1/S2","No","No"
"YN-468","33","C/N","No","4x AA","No","No","No","No","S1/S2","No","No"
"YN-468 II","33","C/N","No","4x AA","No","No","No","No","S1/S2","No","No"

"YN-560","58","Manual","No","4x AA","Yes","No","No","No","S1/S2","No","No"
"YN-560 II","58","Manual","No","4x AA","Yes","No","No","No","S1/S2","No","No"
"YN-560 III","58","Manual","No","4x AA","Yes","No","603/602","No","S1/S2","No","No"
"YN-560 IV","58","Manual","No","4x AA","Yes","No","603/602","603/602","S1/S2","No","No"
"YN-660","66","Manual","No","4x AA","Yes","No","603/602","603/602","S1/S2","No","No"
"YN-560Li","58","Manual","No","2x 18650","No","Yes","603/602","603/602","S1/S2","No","No"
"YN-720","60","Manual","No","1x YN-B2000","No","Yes","603/602","603/602","S1/S2","No","No"
"YN-730","60","Manual","No","1x LB-E1","No","Yes","603/602","603/602","S1/S2","No","No"
"YN-860Li","60","Manual","No","1x YN-B1800","No","Yes","603/602","603/602","S1/S2","No","No"

"YN-510EX","53","Manual","No","4x AA","No","No","No","No","S1/S2/Sc/Sn","No","Yes"
"YN-560EX","58","Manual","No","4x AA","No","No","No","No","S1/S2/Sc/Sn","No","Yes"

"YN-500EX","53","C","Yes","4x AA","No","No","No","No","S1/S2/Sc/Sn","No","Yes"
"YN-565EX","58","N","No","4x AA","Yes","No","No","No","S1/S2/Sc/Sn","No","Yes"
"YN-565EX II","58","C","No","4x AA","Yes","No","No","No","S1/S2/Sc/Sn","No","Yes"
"YN-565EX III","58","C/N","No","4x AA","Yes","Yes","No","No","S1/S2/Sc/Sn","No","Yes"
"YN-568EX","58","N","Yes","4x AA","No","No","No","No","S1/S2/Sc/Sn","No","Yes"
"YN-568EX II","58","C","Yes","4x AA","No","No","No","No","S1/S2/Sc/Sn","C","Yes"
"YN-568EX III","58","C/N","Yes","4x AA","No","Yes","No","No","S1/S2/Sc/Sn","C","Yes"
"YN-585EX","58","P","No","4x AA","No","Yes","No","No","S1/S2/Sp","No","Yes"

"YN-685","60","C/N","Yes","4x AA","Yes","Yes","622/603","No","No","No","Yes"
"YN-685 II","60","C","Yes","4x AA","Yes","Yes","622/603","No","No","No","Yes"

"YN-320EX","31","S","Yes","2x AA","No","Yes","603/602","603","S1/S2/Ss","S","Yes"
"YN-650EX-RF","60","C","Yes","4x AA","Yes","Yes","603/602","603","S1/S2/Sc","C","Yes"
"YN-685EX-RF","60","S","Yes","4x AA","Yes","Yes","603/602","603","S1/S2/Ss","No","Yes"
"YN-862","60","C","Yes","1x YN-B1800","No","Yes","603/602","603/602","S1/S2/Sc","No","Yes"

"YN-968","60","C/N","Yes","4x AA","Yes","Yes","622/603","622","S1/S2/Sc/Sn","No","Yes"
"YN-968 II","60","N","Yes","4x AA","Yes","Yes","622/603","622","S1/S2/Sc/Sn","No","Yes"

"YN-600EX-RT","60","C","Yes","4x AA","Yes","Yes","E3","E3","S1/S2/Sc/Sn","No","Yes"
"YN-600EX-RT II","60","C","Yes","4x AA","Yes","Yes","E3","E3","S1/S2/Sc/Sn","C","Yes"
"YN-680EX-RT","60","C","Yes","1x YN-B2000","No","Yes","E3","E3","S1/S2/Sc/Sn","C","Yes"
"YN-686EX-RT","60","C","Yes","1x YN-BH2000","No","Yes","E3","E3","S1/S2/Sc/Sn","C","Yes"
"YN-690EX-RT","60","C","Yes","1x LB-E1","No","Yes","E3","E3","S1/S2/Sc/Sn","C","Yes"
"YN-968EX-RT","60","C","Yes","4x AA","Yes","Yes","E3","E3","S1/S2/Sc/Sn","No","Yes"
