"Trigger","TTL Sys.","TX Prot.","RX Prot.","TTL","HSS","Grp","Pwr","ID","FW Up","Battery"
"RF-600TX","No","602","No","No","No","No","No","No","No","1x CR2"
"RF-601TX","No","602","No","No","No","No","No","No","No","1x CR2"
"RF-601RX","No","No","602","No","No","No","No","No","No","2x AAA"
"RF-602TX","No","602","No","No","No","No","No","No","No","1x CR2"
"RF-602RX","No","No","602","No","No","No","No","No","No","2x AAA"
"RF-603","No","603","603","No","No","No","No","No","No","2x AAA"
"RF-603 II","No","603","603","No","No","No","No","No","No","2x AAA"
"RF605","No","603/602","603/602","No","No","Yes","No","No","No","2x AAA"
"YN622-TX","C/N","622","No","Yes","Yes","Yes","Yes","No","Yes","2x AA"
"YN622","C/N","622","622","Yes","Yes","Yes","Yes","No","No","2x AA"
"YN622 II","C/N","622","622/603","Yes","Yes","Yes","Yes","No","Yes","2x AA"
"YN560-TX","No","603/602","No","No","No","Yes","Yes","No","No","2x AA"
"YN560-TX II","No","603/602","No","No","No","Yes","Yes","No","No","2x AA"
"YN560-TX Pro","C/N/S","603/602","No","Yes","Yes","Yes","Yes","Yes","Yes","2x AA"
"YN32-TX","S","603/602","No","Yes","Yes","Yes","Yes","Yes","Yes","Built-in Li-ion"
"YNE3-RX","C","No","E3","Yes","No","Yes","Yes","Yes","Yes","2x AA"
"YN-E3-RT","C","E3","No","Yes","Yes","Yes","Yes","Yes","Yes","2x AA"
"YN-E3-RT II","C","E3","No","Yes","Yes","Yes","Yes","Yes","Yes","2x AA"
